Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
07/11/2022,11200,11600,12000,11200,7.31M,-6.67%
08/11/2022,10450,10450,10800,10450,7.01M,-6.70%
09/11/2022,9720,10450,10700,9720,8.39M,-6.99%
10/11/2022,9040,9200,9500,9040,4.19M,-7.00%
11/11/2022,8410,8510,9050,8410,10.95M,-6.97%
14/11/2022,7950,7870,8160,7830,9.05M,-5.47%
15/11/2022,7400,7720,8180,7400,7.99M,-6.92%
16/11/2022,7910,6980,7910,6890,8.09M,6.89%
17/11/2022,8460,8440,8460,8200,3.72M,6.95%
18/11/2022,9050,8790,9050,8400,17.25M,6.97%
21/11/2022,9660,9130,9660,9100,7.18M,6.74%
22/11/2022,9200,9650,10150,9100,12.63M,-4.76%
23/11/2022,8700,9100,9400,8700,6.96M,-5.43%
24/11/2022,9290,8500,9290,8420,6.61M,6.78%
25/11/2022,9900,9490,9900,9350,6.66M,6.57%
28/11/2022,10550,10300,10550,10100,12.16M,6.57%
29/11/2022,10850,10700,11200,10150,12.84M,2.84%
30/11/2022,11000,10900,11250,10550,10.02M,1.38%
01/12/2022,11750,11300,11750,11200,27.61M,6.82%
02/12/2022,12550,11700,12550,11650,12.68M,6.81%
05/12/2022,13400,13300,13400,12800,13.86M,6.77%
06/12/2022,12500,13300,13350,12500,22.94M,-6.72%
07/12/2022,11900,11950,12400,11650,14.65M,-4.80%
08/12/2022,12700,12100,12700,12050,12.38M,6.72%
09/12/2022,13300,12800,13450,12350,11.99M,4.72%
12/12/2022,12450,13500,13800,12400,12.49M,-6.39%
13/12/2022,13000,12450,13000,11950,9.15M,4.42%
14/12/2022,13000,13300,13500,12900,10.37M,0.00%
15/12/2022,13200,12800,13400,12800,11.71M,1.54%
16/12/2022,14100,13000,14100,13000,15.19M,6.82%
19/12/2022,14100,14500,15050,14100,20.97M,0.00%
20/12/2022,14650,14100,14900,13350,25.88M,3.90%
21/12/2022,13800,14900,14950,13650,13.40M,-5.80%
22/12/2022,13300,14000,14150,12900,10.90M,-3.62%
23/12/2022,12400,13250,13300,12400,12.51M,-6.77%
26/12/2022,11550,12050,12350,11550,12.09M,-6.85%
27/12/2022,12350,11500,12350,11300,9.21M,6.93%
28/12/2022,12350,12600,12750,12350,5.82M,0.00%
29/12/2022,12250,12350,12600,12000,5.60M,-0.81%
30/12/2022,12250,12450,12500,12100,3.90M,0.00%
03/01/2023,13100,12350,13100,12350,8.70M,6.94%
