Date,Price,Open,High,Low,Vol.,Change %
2016-01-01,434,429,437,426,12.97K,1.16%
2016-01-02,433,434,436,430,6.38K,-0.29%
2016-01-03,429,433,433,422,19.18K,-0.93%
2016-01-04,433,429,436,427,13.02K,0.99%
2016-01-05,432,433,435,428,11.22K,-0.24%
2016-01-06,428,432,432,425,8.74K,-0.89%
2016-01-07,459,429,462,427,55.66K,7.26%
2016-01-08,454,459,465,447,30.45K,-1.10%
2016-01-09,449,454,456,448,8.76K,-1.05%
2016-01-10,449,449,450,441,13.75K,0.03%
2016-01-11,449,449,453,444,14.81K,-0.02%
2016-01-12,432,449,450,429,20.66K,-3.83%
2016-01-13,431,432,436,416,33.24K,-0.22%
2016-01-14,429,431,435,426,13.30K,-0.42%
2016-01-15,359,429,429,358,123.88K,-16.40%
2016-01-16,388,359,392,353,74.07K,8.24%
2016-01-17,382,388,393,379,20.63K,-1.63%
2016-01-18,387,382,389,375,19.55K,1.30%
2016-01-19,379,387,388,377,17.19K,-2.09%
2016-01-20,419,379,428,375,82.80K,10.67%
2016-01-21,411,420,425,405,29.03K,-2.01%
2016-01-22,381,411,411,371,62.21K,-7.31%
2016-01-23,386,381,394,380,21.47K,1.21%
2016-01-24,403,386,407,385,23.22K,4.46%
2016-01-25,391,403,403,384,22.66K,-2.93%
2016-01-26,391,391,398,388,13.32K,0.09%
2016-01-27,395,391,397,390,8.54K,0.93%
2016-01-28,378,395,396,376,25.03K,-4.20%
2016-01-29,378,378,385,360,62.20K,-0.20%
2016-01-30,377,378,381,374,10.50K,-0.18%
2016-01-31,366,377,379,363,14.85K,-3.04%
2016-02-01,371,366,379,363,24.84K,1.62%
2016-02-02,373,371,375,370,10.44K,0.40%
2016-02-03,369,373,374,366,13.20K,-1.05%
2016-02-04,390,369,394,369,37.34K,5.64%
2016-02-05,387,390,393,385,16.90K,-0.84%
2016-02-06,374,387,387,366,40.20K,-3.31%
2016-02-07,372,374,378,369,13.06K,-0.47%
2016-02-08,371,372,377,369,16.88K,-0.41%
2016-02-09,374,371,378,370,9.08K,0.94%
2016-02-10,381,374,387,373,33.67K,1.85%
2016-02-11,378,381,383,372,14.52K,-0.76%
2016-02-12,383,378,384,377,10.15K,1.32%
2016-02-13,393,383,393,383,14.73K,2.61%
2016-02-14,408,393,409,393,29.47K,3.90%
2016-02-15,400,408,413,395,30.13K,-2.06%
2016-02-16,407,400,409,399,13.99K,1.84%
2016-02-17,415,407,422,405,30.40K,1.86%
2016-02-18,422,415,426,413,25.23K,1.60%
2016-02-19,420,422,423,412,13.26K,-0.36%
2016-02-20,439,420,445,420,47.48K,4.45%
2016-02-21,441,439,451,428,43.01K,0.41%
2016-02-22,440,441,443,433,16.34K,-0.05%
2016-02-23,421,440,443,416,32.43K,-4.35%
2016-02-24,426,421,428,411,22.43K,1.24%
2016-02-25,425,426,430,420,13.60K,-0.35%
2016-02-26,435,425,435,420,18.85K,2.45%
2016-02-27,434,436,438,432,11.59K,-0.25%
2016-02-28,435,434,438,422,19.86K,0.06%
2016-02-29,439,435,445,431,20.40K,1.08%
2016-03-01,435,439,443,429,19.63K,-0.99%
2016-03-02,422,435,436,421,16.46K,-2.90%
2016-03-03,421,422,424,416,20.87K,-0.39%
2016-03-04,409,421,424,408,21.75K,-2.79%
2016-03-05,397,409,410,390,46.95K,-2.80%
2016-03-06,404,397,410,392,19.71K,1.65%
2016-03-07,413,404,415,402,15.31K,2.18%
2016-03-08,411,413,416,406,10.23K,-0.33%
2016-03-09,413,411,415,408,9.03K,0.39%
2016-03-10,417,413,417,411,13.71K,0.86%
2016-03-11,421,417,424,416,15.46K,0.96%
2016-03-12,410,421,422,407,17.02K,-2.49%
2016-03-13,412,410,416,410,7.63K,0.44%
2016-03-14,416,412,418,412,9.21K,1.01%
2016-03-15,416,416,419,413,9.63K,-0.12%
2016-03-16,417,416,418,414,7.07K,0.43%
2016-03-17,419,417,421,417,8.31K,0.35%
2016-03-18,408,419,419,403,21.09K,-2.64%
2016-03-19,408,408,411,404,8.96K,0.17%
2016-03-20,411,408,413,408,5.66K,0.70%
2016-03-21,412,411,412,406,7.82K,0.15%
2016-03-22,418,412,419,410,10.20K,1.41%
2016-03-23,418,418,420,416,7.19K,0.10%
2016-03-24,415,418,418,414,7.56K,-0.67%
2016-03-25,416,415,417,413,3.69K,0.17%
2016-03-26,417,416,419,415,5.04K,0.17%
2016-03-27,427,417,431,416,22.33K,2.56%
2016-03-28,424,427,428,422,9.25K,-0.77%
2016-03-29,416,424,426,408,23.30K,-1.95%
2016-03-30,413,416,416,409,9.04K,-0.63%
2016-03-31,416,413,418,413,7.27K,0.68%
2016-04-01,418,416,418,414,5.41K,0.37%
2016-04-02,420,418,423,418,6.12K,0.66%
2016-04-03,421,420,422,418,4.25K,0.07%
2016-04-04,421,421,421,416,5.75K,-0.03%
2016-04-05,424,421,425,420,7.26K,0.78%
2016-04-06,423,424,425,422,5.68K,-0.28%
2016-04-07,422,423,423,418,7.73K,-0.07%
2016-04-08,419,422,425,416,9.85K,-0.90%
2016-04-09,419,419,419,412,6.33K,0.00%
2016-04-10,421,419,423,418,4.25K,0.68%
2016-04-11,424,421,424,419,6.40K,0.57%
2016-04-12,427,424,430,424,14.77K,0.67%
2016-04-13,425,427,428,423,6.67K,-0.43%
2016-04-14,426,425,426,424,4.13K,0.30%
2016-04-15,432,426,432,426,15.84K,1.28%
2016-04-16,432,432,436,431,7.71K,0.13%
2016-04-17,429,433,434,426,8.48K,-0.82%
2016-04-18,430,429,431,427,7.58K,0.36%
2016-04-19,438,430,439,429,12.05K,1.80%
2016-04-20,444,438,447,437,21.25K,1.41%
2016-04-21,452,444,455,442,17.83K,1.82%
2016-04-22,448,452,453,445,12.21K,-0.94%
2016-04-23,454,448,455,446,10.16K,1.32%
2016-04-24,463,454,465,450,24.13K,2.05%
