Date,Price,Open,High,Low,Vol.
2015-01-05,9107.00,9172.00,9303.00,9107.00,776.58K
2015-01-06,9303.00,8976.00,9303.00,8844.00,770.78K
2015-01-07,9238.00,9303.00,9434.00,9238.00,1.07M
2015-01-08,9107.00,9172.00,9238.00,9041.00,1.13M
2015-01-09,9238.00,9172.00,9303.00,9107.00,1.76M
2015-01-12,9107.00,9369.00,9369.00,9107.00,974.02K
2015-01-13,9303.00,9107.00,9369.00,9041.00,1.14M
2015-01-14,9369.00,9369.00,9500.00,9107.00,2.41M
2015-01-15,9500.00,9434.00,9565.00,9369.00,1.44M
2015-01-16,9565.00,9500.00,9696.00,9500.00,1.60M
2015-01-19,9827.00,9696.00,10155.00,9631.00,4.75M
2015-01-20,9827.00,9827.00,10089.00,9762.00,2.29M
2015-01-21,9958.00,9827.00,10024.00,9762.00,796.27K
2015-01-22,9893.00,9893.00,10024.00,9762.00,1.53M
2015-01-23,10220.00,9958.00,10417.00,9958.00,4.58M
2015-01-26,10220.00,10351.00,10351.00,10155.00,1.83M
2015-01-27,10286.00,10220.00,10482.00,9958.00,5.60M
2015-01-28,10744.00,10286.00,10744.00,10220.00,4.01M
2015-01-29,10810.00,10744.00,10876.00,10548.00,2.61M
2015-01-30,10810.00,10744.00,11203.00,10614.00,9.26M
2015-02-02,10548.00,10810.00,10876.00,10548.00,1.93M
2015-02-03,10417.00,10614.00,10810.00,10417.00,2.26M
2015-02-04,10417.00,10351.00,10417.00,10089.00,1.87M
2015-02-05,10482.00,10417.00,10614.00,10351.00,1.05M
2015-02-06,10679.00,10548.00,10679.00,10417.00,742.39K
2015-02-09,10810.00,10679.00,11006.00,10679.00,2.42M
2015-02-10,11334.00,10810.00,11334.00,10810.00,2.73M
2015-02-11,11596.00,11400.00,11727.00,11400.00,1.32M
2015-02-12,11531.00,11596.00,11924.00,11465.00,1.65M
2015-02-13,11858.00,11531.00,11858.00,11334.00,2.69M
2015-02-24,12317.00,12120.00,12317.00,11924.00,1.92M
2015-02-25,12186.00,12317.00,12448.00,11924.00,1.78M
2015-02-26,12382.00,12120.00,12382.00,11989.00,3.60M
2015-02-27,12186.00,12382.00,12382.00,11989.00,1.49M
2015-03-02,12120.00,12055.00,12186.00,11924.00,1.10M
2015-03-03,12382.00,12055.00,12448.00,12055.00,2.78M
2015-03-04,12899.00,12969.00,13109.00,12899.00,1.56M
2015-03-05,12758.00,12969.00,13109.00,12758.00,1.48M
2015-03-06,13039.00,12688.00,13039.00,12618.00,1.19M
2015-03-09,12548.00,12969.00,13039.00,12548.00,2.78M
2015-03-10,12478.00,12618.00,12758.00,12408.00,2.35M
2015-03-11,12268.00,12478.00,12478.00,12268.00,2.00M
2015-03-12,12268.00,12268.00,12408.00,12198.00,1.35M
2015-03-13,12688.00,12408.00,12688.00,12408.00,1.72M
2015-03-16,12198.00,12688.00,12758.00,12198.00,1.99M
2015-03-17,12338.00,12338.00,12408.00,12198.00,1.61M
2015-03-18,12268.00,12338.00,12408.00,12128.00,1.64M
2015-03-19,12057.00,12338.00,12338.00,12057.00,746.14K
2015-03-20,11987.00,11987.00,12057.00,11847.00,1.32M
2015-03-23,12198.00,12057.00,12268.00,12057.00,2.01M
2015-03-24,12338.00,12128.00,12408.00,11917.00,1.80M
2015-03-25,12688.00,12338.00,12758.00,12338.00,4.33M
2015-03-26,12688.00,12688.00,12899.00,12618.00,1.73M
2015-03-27,12478.00,12758.00,12758.00,12478.00,1.93M
2015-03-30,11777.00,12408.00,12478.00,11777.00,2.01M
2015-03-31,11917.00,11847.00,12128.00,11777.00,1.09M
2015-04-01,11847.00,11917.00,12198.00,11847.00,2.32M
2015-04-02,12198.00,11847.00,12198.00,11847.00,1.26M
2015-04-03,12198.00,12198.00,12338.00,12128.00,1.43M
2015-04-06,12128.00,12128.00,12338.00,12128.00,663.33K
2015-04-07,12408.00,12128.00,12478.00,12057.00,1.04M
2015-04-08,12198.00,12338.00,12408.00,12198.00,1.29M
2015-04-09,12198.00,12057.00,12478.00,11987.00,1.84M
2015-04-10,12268.00,12198.00,12548.00,12198.00,1.44M
2015-04-13,12057.00,12268.00,12408.00,12057.00,1.61M
