Date,Price,Open,High,Low,Vol.,Change %
2013-08-01,24134,23744,24134,23744,45.95K,1.64%
2013-08-02,24231,24134,24280,24085,22.96K,0.40%
2013-08-05,25596,23890,25596,23890,189.70K,5.63%
2013-08-06,26572,26084,26815,25596,220.70K,3.81%
2013-08-07,26572,26328,26572,25840,68.92K,0.00%
2013-08-08,25353,26084,26328,25353,72.44K,-4.59%
2013-08-09,25840,25353,26084,25353,71.15K,1.92%
2013-08-12,26815,26328,26815,25840,124.12K,3.77%
2013-08-13,26084,26815,27059,26084,147.25K,-2.73%
2013-08-14,25840,25840,26328,25840,31.02K,-0.94%
2013-08-15,25353,25840,26328,25353,113.92K,-1.88%
2013-08-16,24865,26328,27059,24865,242.63K,-1.92%
2013-08-19,25353,25353,26084,25109,87.42K,1.96%
2013-08-20,26084,25840,26328,25596,52.76K,2.88%
2013-08-21,25596,26328,26328,25353,95.76K,-1.87%
2013-08-22,25596,25596,25840,24865,70.60K,0.00%
2013-08-23,24865,25596,25596,24865,55.03K,-2.86%
2013-08-26,24865,25596,25596,24378,46.88K,0.00%
2013-08-27,24865,24378,24865,24378,48.00K,0.00%
2013-08-28,24621,24621,24621,23646,111.48K,-0.98%
2013-08-29,24329,24621,24621,24183,32.30K,-1.19%
2013-08-30,24329,24280,24329,23549,64.45K,0.00%
2013-09-03,24134,24329,24621,23890,35.93K,-0.80%
2013-09-04,24134,24621,24621,23890,24.77K,0.00%
2013-09-05,24085,23646,24085,23646,64.24K,-0.20%
2013-09-06,23939,24280,24329,23939,77.04K,-0.61%
2013-09-09,23890,23793,24036,23402,50.74K,-0.20%
2013-09-10,23890,23500,23890,23500,36.36K,0.00%
2013-09-11,23841,23988,24085,23646,39.38K,-0.21%
2013-09-12,23451,23646,23793,23451,44.06K,-1.64%
2013-09-13,23451,23890,23890,23354,64.19K,0.00%
2013-09-16,23646,23451,23841,23402,21.47K,0.83%
2013-09-17,23841,23646,23841,23402,17.77K,0.82%
2013-09-18,24621,23646,24621,23451,40.20K,3.27%
2013-09-19,24865,24378,24865,24329,59.98K,0.99%
2013-09-20,25353,24865,25353,24378,80.12K,1.96%
2013-09-23,25596,25353,25596,24865,91.51K,0.96%
2013-09-24,25840,25596,25840,25109,149.74K,0.95%
2013-09-25,25596,25353,25840,25353,95.40K,-0.94%
2013-09-26,25840,25596,25840,25353,32.29K,0.95%
