Date,Price,Open,High,Low,Vol.,Change %
2018-09-10,62000,62000,62600,61100,1.51M,0.00%
2018-09-11,63000,61500,63100,61500,1.54M,1.61%
2018-09-12,62600,63200,63600,62500,1.59M,-0.63%
2018-09-13,62900,62800,63400,62600,1.07M,0.48%
2018-09-14,64000,63200,64400,63200,2.41M,1.75%
2018-09-17,62900,64000,64000,62900,1.01M,-1.72%
2018-09-18,63300,62500,63300,62300,1.08M,0.64%
2018-09-19,63300,63700,63700,63100,1.08M,0.00%
2018-09-20,64400,63300,64600,63300,1.71M,1.74%
2018-09-21,64600,65000,65700,64000,4.89M,0.31%
2018-09-24,64372,64668,64866,63977,1.09M,-0.35%
2018-09-25,63582,63977,64372,63582,1.03M,-1.23%
2018-09-26,62990,63582,64076,62990,2.10M,-0.93%
2018-09-27,62595,62990,63385,62397,2.12M,-0.63%
2018-09-28,62200,62891,63187,62200,2.10M,-0.63%
2018-10-01,61706,62694,62694,61706,1.93M,-0.79%
2018-10-02,62200,61706,62299,61410,1.60M,0.80%
2018-10-03,62200,62595,62694,61706,1.03M,0.00%
2018-10-04,62200,62200,63187,62003,2.30M,0.00%
2018-10-05,62100,62500,63000,62100,1.63M,-0.16%
2018-10-08,61600,62000,62400,61600,1.35M,-0.81%
2018-10-09,61700,61800,62200,61600,868.06K,0.16%
2018-10-10,61700,61900,62000,61400,781.33K,0.00%
2018-10-11,57700,60000,60000,57500,3.43M,-6.48%
2018-10-12,59900,57000,59900,57000,2.27M,3.81%
2018-10-15,59100,59800,60000,58700,1.16M,-1.34%
2018-10-16,59200,59000,59600,58900,1.08M,0.17%
2018-10-17,59200,59900,59900,59100,1.29M,0.00%
2018-10-18,58000,59000,59200,57900,1.61M,-2.03%
2018-10-19,57700,57000,58600,57000,1.19M,-0.52%
2018-10-22,57100,58500,58800,57100,1.20M,-1.04%
2018-10-23,55800,57000,57300,54000,2.35M,-2.28%
2018-10-24,55500,55800,56600,55500,1.47M,-0.54%
2018-10-25,54800,53000,55200,53000,1.74M,-1.26%
2018-10-26,53500,55900,55900,53500,1.22M,-2.37%
2018-10-29,52900,53300,53900,52500,1.26M,-1.12%
2018-10-30,54200,52900,54300,52700,1.34M,2.46%
2018-10-31,55600,54200,56700,54200,1.25M,2.58%
2018-11-01,55000,55800,55900,54800,1.22M,-1.08%
2018-11-02,56200,55000,56300,55000,1.14M,2.18%
2018-11-05,56500,55900,56500,55600,873.02K,0.53%
2018-11-06,55800,57000,57000,55800,667.71K,-1.24%
2018-11-07,55500,55800,56200,55100,668.29K,-0.54%
2018-11-08,55700,56700,56800,55700,575.72K,0.36%
2018-11-09,54300,55200,55700,54300,885.69K,-2.51%
2018-11-12,54600,54000,54600,52800,687.98K,0.55%
2018-11-13,53600,53300,54300,53300,601.52K,-1.83%
2018-11-14,53200,53600,54300,52800,530.12K,-0.75%
2018-11-15,53400,53200,53600,52500,828.51K,0.38%
2018-11-16,53200,54000,54100,53100,1.23M,-0.37%
2018-11-19,54000,54000,54000,53200,1.15M,1.50%
2018-11-20,53800,54000,54000,53300,1.09M,-0.37%
2018-11-21,55400,53100,55400,53000,1.91M,2.97%
2018-11-22,54800,55000,55500,54700,961.12K,-1.08%
2018-11-23,54000,54700,55000,54000,897.05K,-1.46%
2018-11-26,54000,54000,54300,53700,673.90K,0.00%
2018-11-27,53400,54400,54700,53200,1.28M,-1.11%
2018-11-28,55100,53400,55100,53400,1.48M,3.18%
2018-11-29,55000,55600,56400,55000,2.36M,-0.18%
2018-11-30,55400,54900,56000,54800,1.43M,0.73%
2018-12-03,58000,56700,58000,56200,2.23M,4.69%
2018-12-04,57600,57800,58300,57100,1.37M,-0.69%
2018-12-05,57800,57000,58200,56500,2.01M,0.35%
2018-12-06,56900,57400,58000,56700,2.26M,-1.56%
2018-12-07,57200,57400,57700,57100,835.39K,0.53%
2018-12-10,56900,57200,57400,56600,1.05M,-0.52%
2018-12-11,56800,56900,57200,56200,1.12M,-0.18%
2018-12-12,58000,57300,58000,56800,1.47M,2.11%
2018-12-13,57600,58300,58400,57600,851.90K,-0.69%
2018-12-14,56500,57500,57600,56500,880.58K,-1.91%
2018-12-17,54800,56000,56400,54800,1.79M,-3.01%
2018-12-18,55100,54100,55500,54100,1.46M,0.55%
2018-12-19,54400,55100,55400,54100,1.13M,-1.27%
2018-12-20,54600,54300,55200,54300,877.26K,0.37%
2018-12-21,54500,54500,54500,53800,1.69M,-0.18%
2018-12-24,53100,54500,54900,53100,864.16K,-2.57%
2018-12-25,52700,52000,53000,51000,1.96M,-0.75%
2018-12-26,52800,52600,53500,52600,782.18K,0.19%
2018-12-27,53500,54000,54300,53500,571.77K,1.33%
2018-12-28,53500,53800,54500,53300,781.69K,0.00%
2019-01-02,53600,53900,54300,53500,1.08M,0.19%
2019-01-03,53600,54000,54100,52700,1.07M,0.00%
2019-01-04,54400,53300,54400,52600,1.31M,1.49%
2019-01-07,54600,55300,55500,54500,1.18M,0.37%
2019-01-08,55000,55000,55200,54500,1.32M,0.73%
2019-01-09,55800,55500,56100,54800,1.14M,1.45%
2019-01-10,55000,55800,55800,55000,794.87K,-1.43%
2019-01-11,55200,55200,55500,54900,1.12M,0.36%
2019-01-14,55300,55200,55500,54900,759.98K,0.18%
2019-01-15,55900,55300,56100,55200,1.07M,1.08%
2019-01-16,55400,56300,56300,55000,706.16K,-0.89%
2019-01-17,55200,55300,55700,55100,460.06K,-0.36%
2019-01-18,54800,55200,55400,54800,542.40K,-0.72%
2019-01-21,55800,54600,56200,54500,870.53K,1.82%
2019-01-22,55200,56000,56000,55200,398.34K,-1.08%
2019-01-23,55400,54900,55500,54900,514.72K,0.36%
2019-01-24,55400,55400,55600,55000,463.87K,0.00%
2019-01-25,55800,55500,56100,55400,1.01M,0.72%
2019-01-28,55500,56000,56000,55500,336.99K,-0.54%
2019-01-29,56700,55500,56700,55200,973.05K,2.16%
2019-01-30,56700,56700,57200,56700,1.15M,0.00%
2019-01-31,56800,56800,57400,56800,1.15M,0.18%
2019-02-01,56500,57000,57400,56500,827.04K,-0.53%
2019-02-11,58100,57000,58200,56800,1.40M,2.83%
2019-02-12,58600,58100,59000,57800,1.68M,0.86%
2019-02-13,59800,58600,59900,58600,1.85M,2.05%
2019-02-14,60200,59800,60300,59600,1.63M,0.67%
