Date,Price,Open,High,Low,Vol.
2019-01-02,891.75,900.10,900.10,891.10,111.52K
2019-01-03,878.22,889.78,892.21,872.12,156.58K
2019-01-04,880.90,872.69,881.48,861.85,136.57K
2019-01-07,889.64,890.47,896.63,885.30,127.55K
2019-01-08,887.44,891.37,891.87,883.67,112.83K
2019-01-09,896.99,890.26,897.25,888.61,160.51K
2019-01-10,898.30,897.85,899.47,895.17,130.59K
2019-01-11,902.71,899.10,904.37,899.10,131.41K
2019-01-14,901.80,903.83,903.83,897.18,143.85K
2019-01-15,909.68,901.21,909.68,898.92,127.19K
2019-01-16,908.70,911.32,912.48,906.39,164.29K
2019-01-17,901.89,908.48,909.06,901.89,133.89K
2019-01-18,902.30,902.70,906.35,900.64,140.75K
2019-01-21,911.05,905.25,911.74,903.09,165.63K
2019-01-22,906.55,912.73,913.37,906.55,152.16K
2019-01-23,908.18,905.73,910.12,905.12,129.14K
2019-01-24,908.79,908.56,910.59,906.59,110.29K
2019-01-25,908.88,908.86,911.59,907.96,117.59K
2019-01-28,912.18,912.53,913.43,908.90,133.32K
2019-01-29,915.93,913.67,915.93,907.09,121.44K
2019-01-30,915.84,914.08,917.80,913.48,139.40K
2019-01-31,910.65,919.12,920.36,910.38,138.05K
2019-02-01,908.67,911.98,912.81,907.52,140.80K
2019-02-11,926.10,916.21,926.10,916.07,124.64K
2019-02-12,937.54,930.37,938.64,926.98,188.42K
2019-02-13,945.25,937.61,945.25,937.34,215.28K
2019-02-14,952.34,946.54,953.66,945.99,181.06K
2019-02-15,950.89,951.90,955.40,948.26,160.69K
2019-02-18,961.30,954.85,961.30,953.32,194.65K
2019-02-19,964.35,962.84,971.92,962.81,231.96K
2019-02-20,970.58,963.29,972.75,963.29,170.88K
2019-02-21,987.57,972.82,987.57,970.31,178.58K
2019-02-22,988.91,983.99,993.16,982.86,215.63K
2019-02-25,994.43,996.06,999.90,992.72,227.74K
2019-02-26,987.06,991.63,996.44,979.24,251.65K
2019-02-27,990.27,989.61,994.46,988.09,258.93K
2019-02-28,965.47,989.84,990.25,965.47,224.81K
2019-03-01,979.63,971.05,980.82,970.54,170.04K
2019-03-04,993.99,983.50,994.46,983.33,235.64K
2019-03-05,992.45,990.08,1000.25,987.92,297.44K
2019-03-06,994.49,993.01,994.49,985.51,250.93K
2019-03-07,994.03,995.65,1004.55,994.03,210.70K
2019-03-08,985.25,987.89,991.98,984.48,202.51K
2019-03-11,984.60,982.94,987.11,981.34,178.66K
2019-03-12,1001.32,991.14,1001.32,990.46,208.19K
2019-03-13,1005.41,1003.75,1009.77,1003.01,229.38K
2019-03-14,1008.44,1006.37,1011.39,1002.09,224.54K
2019-03-15,1004.12,1008.44,1008.44,1001.10,250.28K
2019-03-18,1011.86,1004.12,1013.29,1004.12,230.55K
2019-03-19,1006.59,1013.75,1014.51,1004.22,236.59K
2019-03-20,1002.30,1002.86,1003.25,992.02,300.09K
2019-03-21,981.78,1005.12,1006.37,981.78,200.03K
2019-03-22,988.71,984.90,990.07,981.30,206.93K
2019-03-25,970.07,976.53,976.53,964.76,245.78K
2019-03-26,969.79,970.07,978.99,966.90,175.42K
2019-03-27,975.91,976.67,979.32,972.25,159.94K
2019-03-28,982.98,973.44,983.18,972.60,217.07K
2019-03-29,980.76,985.35,988.24,980.76,173.91K
2019-04-01,988.53,980.76,988.53,980.76,188.62K
2019-04-02,985.81,994.87,996.41,985.48,236.02K
2019-04-03,984.46,984.74,985.26,980.30,216.94K
2019-04-04,986.91,987.47,989.08,982.94,165.31K
2019-04-05,989.26,986.91,990.38,986.39,189.29K
2019-04-08,997.56,989.26,997.56,989.26,163.69K
2019-04-09,988.48,999.89,1000.02,987.82,165.18K
2019-04-10,981.91,984.79,987.27,976.83,159.91K
2019-04-11,985.95,984.46,985.95,981.06,129.48K
2019-04-12,982.90,984.66,984.69,980.26,153.83K
2019-04-16,977.17,970.87,978.53,963.06,150.02K
2019-04-17,972.10,977.17,980.71,972.10,186.72K
2019-04-18,962.30,969.50,973.73,962.05,160.39K
2019-04-19,966.21,968.27,971.73,965.46,106.98K
2019-04-22,965.86,963.78,966.69,959.33,216.34K
2019-04-23,968.00,964.84,970.98,964.35,154.89K
2019-04-24,976.92,969.66,978.71,969.66,134.07K
2019-04-25,974.13,976.46,976.46,971.92,149.12K
2019-04-26,979.64,972.86,979.64,970.73,118.54K
2019-05-02,978.50,978.81,979.93,975.51,152.16K
2019-05-03,974.14,976.77,977.13,971.75,148.57K
2019-05-06,957.97,964.37,964.89,955.41,155.65K
2019-05-07,957.56,961.31,965.61,955.42,145.34K
2019-05-08,951.22,950.10,953.88,947.86,143.30K
2019-05-09,947.01,950.66,953.66,944.91,181.40K
2019-05-10,952.55,950.37,953.92,947.85,131.03K
2019-05-13,958.54,952.11,958.54,951.76,232.04K
2019-05-14,965.34,952.13,965.34,952.13,158.18K
2019-05-15,975.64,967.95,977.65,967.95,188.85K
2019-05-16,975.69,976.96,981.22,975.69,170.22K
2019-05-17,976.48,977.85,980.04,974.91,135.09K
2019-05-20,987.13,975.95,987.13,974.47,153.16K
2019-05-21,986.29,989.67,992.84,986.07,206.56K
2019-05-22,983.78,986.66,992.26,982.68,174.96K
2019-05-23,982.71,982.00,984.57,977.17,160.09K
2019-05-24,970.03,976.59,983.14,970.03,168.34K
2019-05-27,975.14,970.73,975.40,970.41,138.47K
2019-05-28,972.00,977.02,978.80,969.51,148.99K
2019-05-29,971.54,973.31,974.96,969.55,145.31K
2019-05-30,969.34,971.01,974.56,967.21,159.99K
2019-05-31,959.88,968.53,969.94,959.88,136.53K
2019-06-03,946.47,953.58,955.78,940.28,184.66K
2019-06-04,951.16,945.62,951.42,943.21,162.40K
2019-06-05,951.41,955.80,958.39,951.39,131.58K
2019-06-06,948.21,951.41,951.41,939.35,125.90K
2019-06-07,958.28,951.64,958.28,950.94,148.04K
2019-06-10,962.90,963.78,966.90,958.60,154.90K
2019-06-11,962.07,962.43,964.81,959.98,136.38K
2019-06-12,954.17,960.60,960.60,953.83,138.11K
2019-06-13,950.08,951.26,952.06,946.29,142.81K
2019-06-14,953.61,948.65,954.70,948.65,155.88K
2019-06-17,946.95,953.97,955.18,944.47,174.37K
2019-06-18,944.01,945.73,947.30,938.95,166.94K
2019-06-19,949.69,948.92,950.04,946.83,147.36K
2019-06-20,959.18,949.48,962.33,948.97,185.49K
2019-06-21,959.20,962.69,964.52,959.12,206.14K
2019-06-24,962.85,960.29,967.11,959.80,150.30K
2019-06-25,960.13,961.19,963.23,960.06,164.35K
2019-06-26,959.13,960.13,962.70,958.38,252.32K
2019-06-27,943.11,959.48,959.48,943.11,159.03K
2019-06-28,949.94,944.53,949.94,939.12,182.63K
2019-07-01,965.61,958.92,965.61,957.66,166.45K
2019-07-02,961.98,964.77,966.76,959.80,138.22K
2019-07-03,960.39,960.44,961.67,956.91,136.59K
2019-07-04,973.04,961.78,973.04,961.65,189.90K
2019-07-05,975.34,973.04,975.34,970.16,137.92K
2019-07-08,966.35,972.83,972.83,963.84,165.88K
2019-07-09,969.05,965.24,969.05,963.05,169.48K
2019-07-10,973.65,971.19,974.96,971.19,154.56K
2019-07-11,978.63,976.95,980.02,975.03,161.66K
2019-07-12,975.40,980.11,982.10,974.32,157.31K
2019-07-15,972.53,975.57,975.66,970.93,150.55K
2019-07-16,982.11,975.05,982.11,975.05,174.67K
2019-07-17,982.57,981.49,985.59,979.05,170.02K
2019-07-18,976.05,979.16,979.49,975.01,139.85K
2019-07-19,982.34,978.12,986.12,978.12,170.27K
2019-07-22,982.04,981.17,985.13,980.08,164.37K
2019-07-23,989.46,981.38,990.45,980.22,184.83K
2019-07-24,988.41,993.01,994.85,986.34,169.64K
2019-07-25,994.95,986.85,997.49,986.85,171.79K
2019-07-26,993.35,994.80,998.52,992.97,152.41K
2019-07-29,997.94,994.23,997.94,988.29,147.83K
2019-07-30,986.02,1001.46,1002.77,986.02,154.32K
2019-07-31,991.66,986.00,993.40,982.64,172.88K
2019-08-01,997.39,993.25,997.39,990.88,222.66K
2019-08-02,991.10,987.55,991.39,985.69,186.79K
2019-08-05,973.15,988.60,988.99,973.15,195.93K
2019-08-06,964.61,960.29,966.15,958.39,210.93K
2019-08-07,965.93,967.18,971.96,961.64,219.15K
2019-08-08,975.24,965.93,975.83,964.21,219.24K
2019-08-09,974.34,976.41,978.69,974.33,192.31K
2019-08-12,975.31,975.38,977.63,973.22,174.55K
2019-08-13,966.83,972.70,973.09,964.03,181.50K
2019-08-14,968.91,975.88,975.99,968.91,151.49K
2019-08-15,979.38,958.05,979.38,955.76,182.91K
2019-08-16,980.00,974.88,985.61,974.88,198.01K
2019-08-19,981.03,984.04,985.48,979.17,158.09K
2019-08-20,984.67,983.94,985.35,981.75,177.94K
2019-08-21,994.38,984.36,995.44,983.30,201.56K
2019-08-22,997.26,996.41,998.67,993.23,153.00K
2019-08-23,992.45,998.21,998.21,990.83,162.57K
2019-08-26,982.88,983.80,984.61,977.00,189.79K
2019-08-27,976.79,986.33,988.49,976.79,199.81K
2019-08-28,977.26,977.10,981.35,977.10,147.21K
2019-08-29,978.59,978.17,978.78,973.34,138.39K
2019-08-30,984.06,980.25,984.87,980.25,143.16K
2019-09-03,979.36,984.79,985.21,978.62,186.48K
2019-09-04,977.63,977.97,979.91,973.37,157.39K
2019-09-05,976.79,979.83,981.67,976.79,159.54K
2019-09-06,974.08,977.83,978.73,973.87,161.16K
2019-09-09,974.12,974.53,975.03,972.47,155.33K
2019-09-10,970.26,974.62,977.44,968.36,161.45K
2019-09-11,969.31,969.59,973.13,967.14,154.51K
2019-09-12,976.07,972.39,976.07,972.31,141.32K
2019-09-13,987.22,976.07,987.22,975.95,189.23K
2019-09-16,989.86,987.07,992.60,986.72,187.15K
2019-09-17,996.74,990.06,996.74,986.96,231.44K
2019-09-18,995.15,995.75,998.40,993.94,191.04K
2019-09-19,997.10,995.49,997.20,990.55,186.92K
2019-09-20,990.36,997.60,998.56,990.36,203.60K
2019-09-23,985.75,991.75,993.98,985.75,207.51K
2019-09-24,988.13,986.33,991.36,984.94,165.04K
2019-09-25,987.30,985.96,989.18,983.06,171.57K
2019-09-26,990.75,988.70,991.66,986.35,152.56K
2019-09-27,997.84,992.26,998.34,991.50,180.74K
2019-09-30,996.56,999.92,1004.17,996.51,176.22K
2019-10-01,999.59,997.87,999.72,996.20,210.25K
2019-10-02,991.19,999.18,1000.93,989.63,178.78K
2019-10-03,989.67,985.65,992.45,983.35,140.12K
2019-10-04,987.59,993.69,994.81,987.59,205.01K
2019-10-07,983.09,989.45,990.34,983.09,178.90K
2019-10-08,988.22,983.62,988.51,981.89,178.38K
2019-10-09,987.83,987.82,992.00,986.74,182.54K
2019-10-10,987.38,988.81,990.89,986.93,182.98K
2019-10-11,991.84,988.57,991.84,987.62,168.61K
2019-10-14,993.57,994.61,997.25,992.50,193.98K
2019-10-15,993.05,993.55,994.75,990.74,179.97K
2019-10-16,994.46,995.75,997.41,993.42,188.13K
