Date,Price,Open,High,Low,Change %
2015-08-10,1104.51,1094.39,1109.20,1089.80,0.94%
2015-08-11,1109.01,1104.41,1119.40,1093.65,0.41%
2015-08-12,1125.30,1108.91,1125.80,1101.75,1.47%
2015-08-13,1115.05,1125.46,1126.71,1113.42,-0.91%
2015-08-14,1114.11,1115.16,1121.40,1111.81,-0.08%
2015-08-17,1117.66,1114.35,1123.05,1113.70,0.32%
2015-08-18,1118.01,1117.91,1121.60,1109.55,0.03%
2015-08-19,1134.46,1118.01,1134.66,1116.35,1.47%
2015-08-20,1153.16,1133.95,1154.50,1132.81,1.65%
2015-08-21,1161.05,1153.91,1168.80,1148.85,0.68%
2015-08-24,1155.05,1162.35,1167.90,1146.75,-0.52%
2015-08-25,1140.65,1155.45,1157.20,1134.90,-1.25%
2015-08-26,1125.55,1141.15,1147.00,1117.75,-1.32%
2015-08-27,1125.71,1125.65,1129.80,1118.15,0.01%
2015-08-28,1133.96,1125.80,1141.20,1123.70,0.73%
2015-08-31,1134.50,1133.25,1136.80,1125.96,0.05%
2015-09-01,1140.11,1135.01,1147.57,1134.51,0.49%
2015-09-02,1134.05,1139.49,1143.00,1132.31,-0.53%
2015-09-03,1125.25,1134.01,1134.50,1121.75,-0.78%
2015-09-04,1123.00,1125.25,1130.20,1117.15,-0.20%
2015-09-07,1119.47,1123.22,1124.88,1116.58,-0.31%
2015-09-08,1121.80,1119.30,1126.80,1118.45,0.21%
2015-09-09,1106.10,1121.96,1125.80,1101.51,-1.40%
2015-09-10,1111.55,1106.81,1115.30,1104.00,0.49%
2015-09-11,1107.90,1111.56,1113.40,1098.75,-0.33%
2015-09-14,1108.80,1107.80,1110.70,1103.40,0.08%
2015-09-15,1105.40,1108.19,1109.80,1102.91,-0.31%
2015-09-16,1119.55,1105.50,1124.70,1103.95,1.28%
2015-09-17,1131.40,1118.89,1133.40,1115.40,1.06%
2015-09-18,1139.40,1130.85,1141.90,1127.30,0.71%
2015-09-21,1133.30,1139.40,1140.10,1130.00,-0.54%
2015-09-22,1124.80,1133.16,1136.60,1121.18,-0.75%
2015-09-23,1130.40,1124.10,1134.40,1121.75,0.50%
2015-09-24,1154.01,1130.61,1156.70,1130.45,2.09%
2015-09-25,1146.24,1150.97,1151.18,1140.84,-0.67%
2015-09-28,1132.05,1145.80,1148.30,1128.10,-1.24%
2015-09-29,1127.46,1132.25,1134.90,1124.35,-0.41%
2015-09-30,1115.00,1127.46,1128.20,1112.00,-1.11%
2015-10-01,1113.55,1115.14,1119.29,1111.13,-0.13%
2015-10-02,1138.14,1114.08,1141.90,1104.52,2.21%
2015-10-05,1135.75,1137.71,1141.95,1129.73,-0.21%
2015-10-06,1147.11,1135.65,1151.61,1135.11,1.00%
2015-10-07,1145.40,1146.96,1153.70,1141.96,-0.15%
2015-10-08,1138.96,1145.49,1151.60,1136.90,-0.56%
2015-10-09,1157.53,1139.10,1160.20,1138.80,1.63%
2015-10-12,1164.00,1155.71,1169.40,1154.90,0.56%
2015-10-13,1168.80,1163.55,1169.00,1151.56,0.41%
2015-10-14,1185.19,1168.59,1190.38,1164.05,1.40%
2015-10-15,1183.11,1184.10,1191.04,1176.37,-0.18%
2015-10-16,1177.20,1182.21,1184.50,1174.25,-0.50%
2015-10-19,1170.45,1176.00,1177.90,1168.25,-0.57%
2015-10-20,1176.11,1171.00,1180.70,1167.15,0.48%
2015-10-21,1167.10,1175.81,1179.60,1163.90,-0.77%
2015-10-22,1166.05,1167.06,1172.20,1162.90,-0.09%
2015-10-23,1164.26,1165.61,1179.80,1159.16,-0.15%
2015-10-26,1163.20,1164.45,1169.60,1162.30,-0.09%
2015-10-27,1166.95,1162.96,1168.90,1160.91,0.32%
2015-10-28,1156.10,1166.75,1182.90,1152.40,-0.93%
2015-10-29,1145.91,1156.09,1162.76,1144.60,-0.88%
2015-10-30,1142.38,1148.04,1150.47,1139.48,-0.31%
2015-11-02,1133.75,1141.49,1143.01,1132.75,-0.76%
2015-11-03,1117.60,1133.60,1138.30,1114.48,-1.42%
2015-11-04,1107.44,1117.63,1122.85,1106.38,-0.91%
2015-11-05,1103.95,1107.56,1111.61,1102.75,-0.32%
2015-11-06,1088.64,1103.89,1110.68,1085.29,-1.39%
2015-11-09,1092.10,1089.94,1095.88,1088.34,0.32%
2015-11-10,1089.91,1092.01,1094.90,1085.45,-0.20%
2015-11-11,1086.14,1089.85,1093.69,1084.04,-0.35%
2015-11-12,1085.05,1086.26,1089.60,1074.66,-0.10%
2015-11-13,1083.64,1085.05,1088.29,1080.04,-0.13%
2015-11-16,1082.85,1088.14,1098.29,1081.32,-0.07%
2015-11-17,1070.37,1082.86,1084.82,1065.59,-1.15%
2015-11-18,1071.14,1070.30,1073.18,1065.34,0.07%
2015-11-19,1082.40,1071.15,1086.50,1069.75,1.05%
2015-11-20,1078.10,1082.30,1087.80,1075.68,-0.40%
2015-11-23,1069.34,1077.01,1077.01,1067.00,-0.81%
2015-11-24,1075.49,1069.24,1080.89,1068.99,0.58%
2015-11-25,1071.39,1075.55,1080.85,1067.75,-0.38%
2015-11-26,1072.25,1071.91,1075.46,1070.35,0.08%
2015-11-27,1058.81,1071.59,1073.90,1052.86,-1.25%
2015-11-30,1064.42,1057.80,1068.90,1053.10,0.53%
2015-12-01,1069.49,1064.55,1074.72,1063.38,0.48%
2015-12-02,1053.69,1069.49,1071.55,1050.63,-1.48%
2015-12-03,1062.57,1053.71,1065.80,1046.25,0.84%
2015-12-04,1086.99,1062.39,1089.09,1058.14,2.30%
2015-12-07,1070.39,1086.01,1087.00,1070.06,-1.53%
2015-12-08,1074.69,1070.49,1078.85,1067.63,0.40%
2015-12-09,1073.21,1074.74,1085.60,1069.59,-0.14%
2015-12-10,1071.54,1073.21,1076.46,1069.70,-0.16%
2015-12-11,1074.89,1071.60,1079.98,1062.38,0.31%
2015-12-14,1062.90,1073.69,1077.70,1062.77,-1.12%
2015-12-15,1060.74,1062.89,1068.89,1059.59,-0.20%
2015-12-16,1072.94,1060.73,1078.59,1060.64,1.15%
2015-12-17,1051.74,1072.85,1073.09,1047.64,-1.98%
2015-12-18,1066.19,1051.72,1070.79,1051.05,1.37%
2015-12-21,1078.44,1065.94,1081.88,1063.88,1.15%
2015-12-22,1072.36,1078.41,1081.00,1071.85,-0.56%
2015-12-23,1070.35,1072.21,1075.75,1068.25,-0.19%
2015-12-24,1075.88,1070.90,1077.85,1070.05,0.52%
2015-12-25,1075.88,1075.88,1075.88,1075.88,0.00%
2015-12-28,1069.05,1076.00,1077.15,1066.30,-0.63%
2015-12-29,1068.99,1069.20,1075.79,1067.29,-0.01%
2015-12-30,1061.45,1069.38,1072.85,1059.55,-0.71%
2015-12-31,1061.30,1061.38,1063.68,1058.38,-0.01%
2016-01-01,1060.74,1061.21,1061.41,1060.74,-0.05%
2016-01-04,1074.70,1065.36,1083.70,1061.90,1.32%
2016-01-05,1077.66,1074.66,1082.30,1072.70,0.28%
2016-01-06,1094.45,1077.55,1095.45,1074.70,1.56%
2016-01-07,1109.25,1094.45,1110.20,1091.09,1.35%
2016-01-08,1104.24,1109.45,1112.40,1093.93,-0.45%
2016-01-11,1094.26,1104.19,1108.51,1093.91,-0.90%
2016-01-12,1087.05,1094.30,1099.54,1083.61,-0.66%
2016-01-13,1093.49,1087.29,1095.68,1079.64,0.59%
2016-01-14,1078.00,1093.52,1095.36,1071.40,-1.42%
2016-01-15,1089.10,1077.94,1097.59,1076.18,1.03%
2016-01-18,1088.90,1089.51,1093.26,1087.25,-0.02%
2016-01-19,1087.12,1088.84,1094.70,1082.95,-0.16%
2016-01-20,1101.02,1087.10,1109.60,1086.73,1.28%
2016-01-21,1101.60,1101.04,1104.98,1092.54,0.05%
2016-01-22,1098.30,1101.60,1102.98,1093.98,-0.30%
2016-01-25,1108.05,1097.85,1109.05,1097.35,0.89%
2016-01-26,1120.57,1108.02,1123.30,1107.17,1.13%
2016-01-27,1125.59,1120.36,1128.20,1114.90,0.45%
2016-01-28,1115.14,1125.57,1126.01,1111.96,-0.93%
2016-01-29,1118.04,1115.16,1118.50,1108.90,0.26%
2016-02-01,1128.85,1117.88,1130.09,1116.24,0.97%
2016-02-02,1129.12,1128.82,1130.70,1122.44,0.02%
2016-02-03,1142.93,1129.16,1146.00,1124.35,1.22%
2016-02-04,1155.74,1142.95,1157.59,1139.43,1.12%
2016-02-05,1173.69,1155.74,1174.90,1145.36,1.55%
2016-02-08,1191.14,1170.89,1200.98,1164.09,1.49%
2016-02-09,1188.85,1191.14,1199.29,1185.48,-0.19%
2016-02-10,1197.49,1188.95,1197.74,1181.29,0.73%
2016-02-11,1246.89,1197.44,1260.98,1196.21,4.13%
2016-02-12,1238.05,1246.94,1249.05,1232.23,-0.71%
2016-02-15,1209.95,1232.81,1234.82,1202.30,-2.27%
2016-02-16,1200.35,1209.32,1217.18,1190.79,-0.79%
2016-02-17,1209.14,1200.19,1213.88,1195.79,0.73%
2016-02-18,1232.35,1209.16,1239.90,1200.75,1.92%
2016-02-19,1228.19,1233.12,1234.79,1219.79,-0.34%
